id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
1wnq9TwifJ9ipLUFsm8vKx,0.875,0.0715,151.986,0.0336,0.000139,3.28e-05,4,0.513,2,267680,-4.819,0.677,1
4ImIJRZNJhNQLLdUFSYJoS,0.896,0.102,90.009,0.056,0.000319,1.19e-05,4,0.649,10,278707,-2.704,0.924,0
2UREu1Y8CO4jXkbvqAtP7g,0.957,0.0789,134.992,0.0741,0.0431,0.0,4,0.64,8,178013,-2.336,0.692,1
4sjLcE0GQ6urc4iUXsUPe9,0.817,0.13,165.0,0.0852,0.0401,3.4e-05,4,0.293,8,347667,-5.432,0.145,1
2ZFxZ4QNiciMhvJV2GjKWL,0.676,0.0628,89.663,0.0277,0.0101,5.35e-06,4,0.63,2,139507,-9.19,0.901,1
0c9buzCUcKXCH7Aa4gpTAu,0.815,0.187,83.989,0.0475,0.0957,0.0,4,0.548,2,224533,-3.715,0.63,1
6XDdmCAuodZfXtEgJcxpS2,0.48,0.0955,171.773,0.0268,0.204,0.0462,4,0.538,7,187280,-9.863,0.834,1
3ebrniHtOzNWigJhEkWguR,0.961,0.964,176.343,0.128,9.44e-05,0.0619,4,0.239,8,267507,-6.695,0.182,1
305WCRhhS10XUcH6AEwZk6,0.953,0.152,105.046,0.0855,0.00148,0.000582,4,0.613,2,213800,-3.435,0.537,1
3MrRksHupTVEQ7YbA0FsZK,0.844,0.0608,117.652,0.058,0.0628,0.00084,4,0.536,6,310333,-6.918,0.185,0
7uiqqtFamY6GFmkpJ21yAo,0.871,0.143,146.812,0.072,0.00371,1.62e-06,4,0.279,4,270560,-7.599,0.618,1
2F8mhprAH20PKf32agtk1d,0.501,0.0953,120.36,0.0268,0.428,0.0,4,0.584,7,269387,-6.152,0.0833,1
67ZyR9O1xkr9p91Vmews3V,0.717,0.0727,105.78,0.0367,0.000336,0.00012,4,0.356,6,318040,-8.489,0.193,1
7oXRMDUzBPekkLRTJhSGvC,0.781,0.11,116.793,0.0364,0.00136,0.000735,4,0.516,8,235587,-4.004,0.897,0
3loGBu1iiLtaB6oDm0VkTT,0.86,0.388,127.788,0.0561,0.00272,0.0969,4,0.235,4,227296,-2.842,0.342,0
6qpN7PrkVsP3N3xO7WlCaw,0.862,0.359,104.56,0.0476,0.0204,0.0,4,0.488,0,257827,-7.595,0.706,1
66MTlHwUl24CzwRnx8nh7S,0.59,0.325,117.42,0.0436,0.293,0.17,4,0.395,10,297000,-14.027,0.145,1
5Pm9uuEL0q6aXSRT3161UP,0.989,0.0243,135.093,0.112,0.00252,0.0032,4,0.576,2,283400,-1.909,0.352,1
6J7cSyvSCnPwv3vqHchEfL,0.536,0.456,126.996,0.0279,0.112,0.0,4,0.584,10,243227,-8.158,0.44,1
6qZjm61s6u8Ead9sWxCDro,0.553,0.257,123.075,0.0397,0.562,0.157,4,0.598,9,211227,-6.742,0.533,0
4wzjNqjKAKDU82e8uMhzmr,0.932,0.127,92.956,0.0399,0.000665,0.0,4,0.545,7,192000,-2.189,0.464,0
6MbiVHE2xG242NuOgNIEYM,0.823,0.234,186.427,0.0695,0.00339,0.0,4,0.17,9,218360,-6.169,0.347,0
0QwZfbw26QeUoIy82Z2jYp,0.717,0.0818,93.584,0.0949,0.0382,7.61e-05,4,0.476,9,166267,-9.192,0.753,1
0EFEkt29P7Icr7dO4vN6yk,0.262,0.0896,104.5,0.105,0.652,0.000204,4,0.564,0,253960,-19.746,0.376,1
2DyHhPyCZgZzNXn1IrtsTu,0.934,0.137,138.162,0.0471,0.000312,0.00457,4,0.519,7,201867,-7.137,0.586,1
32rHadAy6b8xYgSq22C0r8,0.864,0.0956,102.997,0.0283,0.0212,0.0,4,0.7,7,297587,-3.629,0.887,1
4YJ4n7DsZhR5hrnsMfn6zV,0.409,0.0788,151.457,0.0368,0.287,0.0,4,0.446,0,313693,-14.817,0.295,1
6FFnRt7OMvz8yZQIDOxRfv,0.68,0.0945,128.739,0.0374,0.168,4.49e-05,4,0.761,4,271160,-11.792,0.926,1
530Nh8H6UdeIZmxf9y7NXl,0.665,0.0425,133.021,0.39,0.0482,1.4e-06,4,0.612,5,188840,-9.83,0.69,1
0GuQcX8wTe8bUZ72ZncR7m,0.787,0.0883,113.363,0.0581,0.00287,2.97e-05,4,0.433,8,239667,-6.747,0.562,1
3iWlbqAaoIR7H7gyO3a6rV,0.924,0.0831,162.128,0.135,0.000729,2.23e-06,4,0.212,7,348387,-3.349,0.244,0
1gVgkQFOKa8Wc1HYsJtPdH,0.134,0.113,91.893,0.0298,0.467,0.0,4,0.626,6,334107,-14.898,0.239,1
5tVA6TkbaAH9QMITTQRrNv,0.449,0.0613,84.383,0.0253,0.212,0.0,4,0.623,5,256000,-13.333,0.572,1
7A9r5ZkRVuBPzjzY2CGYfS,0.844,0.124,104.899,0.0327,0.000109,7.7e-05,4,0.373,7,303667,-4.332,0.377,1
7kF1iPJTj3VFJX9XokQ80F,0.974,0.0738,141.077,0.102,0.000266,0.0984,4,0.478,7,248307,-3.866,0.268,1
0MnI39P9Dze0PSUjetb8Va,0.731,0.162,117.022,0.0924,0.00108,0.0011,4,0.486,11,235520,-8.789,0.831,0
1AEYT6VxrxXPMoQUxsY0E4,0.896,0.189,184.981,0.117,0.000172,2.78e-06,4,0.492,4,285570,-5.819,0.534,0
50r8v0uwRlhlBiy3o39DIq,0.893,0.136,118.763,0.115,0.0468,0.000158,4,0.313,2,269773,-7.6,0.285,0
0LN0ASTtcGIbNTnjSHG6eO,0.849,0.106,169.937,0.0612,0.00985,0.0,4,0.497,9,261532,-5.352,0.72,1
34tr7aHsxhZ9RVTxQEAyYb,0.821,0.218,155.381,0.182,0.0004,0.00218,4,0.287,9,353880,-7.045,0.58,1
0nkzd3yNniB767zSDDdLZ3,0.939,0.491,159.932,0.0593,0.0425,0.0,4,0.434,4,209493,-2.983,0.569,0
6ZWn1MVUaBH2HNQobhMYeE,0.706,0.0703,94.263,0.0687,0.141,3.58e-05,4,0.299,2,204693,-5.421,0.247,1
1cAMXz9mnvrqyQLSG4KeeE,0.847,0.146,155.073,0.0279,0.00313,1.22e-05,4,0.522,3,340320,-5.888,0.482,1
2vX5WL7s6UdeQyweZEx7PP,0.785,0.0522,108.531,0.0471,0.0249,9.45e-06,4,0.629,5,211027,-10.761,0.869,1
4xanWVQIzdCf51mg8cd1cQ,0.905,0.0753,144.544,0.0812,1.37e-05,7.51e-06,4,0.36,4,267973,-3.808,0.309,0
2yBAPa9HZj3P2szSaaj4k1,0.515,0.883,95.125,0.024,0.0883,2.7e-05,4,0.554,6,346027,-8.534,0.432,1
02CpTZfwje8XMYvtO08i25,0.86,0.228,175.103,0.0533,0.00904,2.77e-05,4,0.373,11,214947,-4.869,0.482,0
6k48aZhCBak9GuabdbI9zd,0.301,0.128,112.458,0.0294,0.221,0.00236,4,0.588,0,278441,-14.979,0.19,1
12sYWro0wGQpq0rjE0lKcm,0.613,0.0711,105.11,0.0295,0.00463,0.000441,4,0.457,9,211373,-5.756,0.132,1
6FRwDxXsvSasw0y2eDArsz,0.481,0.118,115.078,0.0384,0.475,6.57e-05,4,0.684,2,250000,-12.59,0.784,1
6lq2Md99XWG4TnVNP9cNm0,0.886,0.0904,114.025,0.0498,0.000595,9.84e-05,4,0.557,11,262440,-4.196,0.17,0
0faXHILILebCGnJBPU6KJJ,0.964,0.106,167.024,0.0644,7.13e-05,0.0387,4,0.392,10,200547,-4.441,0.269,0
7lY8aoN3wUR3NY4nUwigPv,0.859,0.349,159.694,0.0934,0.0135,0.065,4,0.496,5,224133,-7.927,0.768,0
4Z4ZLBzCXSlHSCaxZ3WS7p,0.951,0.219,173.241,0.0924,0.00837,0.000225,4,0.225,0,233947,-4.654,0.471,1
2xxMCCFva1GRQAYl2rlrpM,0.896,0.362,103.365,0.0552,3.55e-05,0.0414,4,0.339,2,255573,-6.321,0.509,1
38bHLl4pznhxzRJLuw1OA7,0.73,0.146,137.134,0.0361,0.0149,0.0983,4,0.544,4,262160,-12.046,0.678,0
