id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
37sINbJZcFdHFAsVNsPq1i,0.885,0.0741,166.992,0.0395,0.00219,0.0,4,0.491,3,245467,-4.121,0.641,1
7IHOIqZUUInxjVkko181PB,0.418,0.11,84.899,0.0377,0.566,0.000193,4,0.5,0,172724,-6.535,0.176,1
1qx8bj4quT6XuP5P9Eu12Z,0.873,0.193,129.992,0.0603,0.00489,9.76e-06,4,0.565,9,238800,-2.2,0.354,0
6YwLgicpvVuMt1eE2OldwQ,0.883,0.817,127.961,0.219,0.0288,0.0,4,0.699,5,211975,-3.226,0.499,0
3SaIsrEzrQGDcG1jCeaK8q,0.774,0.371,150.032,0.0922,0.259,0.0,4,0.711,0,199387,-3.391,0.715,0
1aKsg5b9sOngINaQXbB0P7,0.714,0.0764,98.992,0.0334,0.00937,0.0,4,0.472,1,236133,-4.389,0.24,0
5HdUMBc7AhPFhlPDZUpSwf,0.859,0.384,122.995,0.0264,0.0174,0.00012,4,0.754,9,190244,-5.875,0.774,0
0VYQK5I08homNvX8SRS37R,0.749,0.205,125.92,0.0692,0.031,0.0,4,0.516,5,209867,-4.091,0.356,1
6pIZ0u32c2Lku8PmCWtnMy,0.864,0.419,119.964,0.0386,0.0585,0.0,4,0.563,4,213424,-4.066,0.439,0
7uolkTLavH97itenLjNmx9,0.741,0.481,189.879,0.0495,0.000189,0.0,4,0.459,4,231013,-6.43,0.344,0
7E8ghSMY1pCO8f7erlKP8U,0.676,0.218,113.741,0.0443,0.0262,0.0271,4,0.361,11,220867,-5.878,0.386,0
7GJClzimvMSghjcrKxuf1M,0.451,0.108,127.787,0.0276,0.0883,0.0,4,0.714,5,200720,-8.268,0.406,1
4kbj5MwxO1bq9wjT5g9HaA,0.866,0.257,128.038,0.0619,0.00701,0.0,4,0.578,1,199080,-3.804,0.619,1
2woCw59DHRIb1vcyQ2a7Ca,0.696,0.488,93.066,0.103,0.0129,0.0,4,0.7,11,223107,-3.842,0.375,0
